"brain1","brain2","pearson_r","pearson_p","spearman_rho","spearman_p","pearson_bonf","pearson_fdr","pearson_holm","spearman_bonf","spearman_fdr","spearman_holm"
"Cingulate_Post_02","Frontal_Mid_02",0.610648626085278,3.38210250895166e-10,0.564500255157833,2.23101397675184e-08,5.78339529030735e-08,7.81539904095587e-10,3.31446045877263e-08,3.81503390024564e-06,4.95458948083849e-08,2.11946327791424e-06
"Cingulate_Post_02","Frontal_Sup_02",0.601278919271536,7.35780401575338e-10,0.547896770430852,6.80805506820484e-08,1.25818448669383e-07,1.44618906516532e-09,6.25413341339037e-08,1.16417741666303e-05,1.29353046295892e-07,5.59124865132567e-06
"Cingulate_Post_02","Frontal_Sup_Medial_02",0.605069994677615,5.38874901290113e-10,0.524349347524969,2.90875556755301e-07,9.21476081206094e-08,1.16642541924822e-09,5.01153658199805e-08,4.97397202051566e-05,5.0754816535874e-07,2.15247911998923e-05
"Cingulate_Post_02","Hypothalamus_02",0.489021703460244,1.53941917151712e-06,0.488827732011373,2.1429977782382e-06,0.000263240678329428,1.96448267410021e-06,5.84979285176506e-05,0.000366452620078732,3.02853405023745e-06,0.00010950065615581
"Cingulate_Post_02","Insula_02",0.543096704580785,5.48396562284414e-08,0.461216009331486,8.83946126537035e-06,9.37758121506348e-06,8.44827136492205e-08,3.34521902993493e-06,0.00151154787637833,1.17174253982816e-05,0.000380096834410925
"Cingulate_Post_02","LC_02",0.546572507616357,4.33605156456785e-08,0.474757600058322,4.47403530046844e-06,7.41464817541102e-06,6.80306079584578e-08,2.81691905302256e-06,0.000765060036380104,6.12048029104083e-06,0.000210279659122017
"Cingulate_Post_02","N_Acc_02",0.602415932599501,6.70451131702635e-10,0.494003790916381,1.62233748866131e-06,1.14647143521151e-07,1.33310632001338e-09,5.76587973264266e-08,0.000277419710561084,2.35101449628037e-06,8.76062243877107e-05
"Cingulate_Post_02","OFCmed_02",0.397013978789733,0.000140511758113886,0.442425457461544,2.1783169796008e-05,0.0240275106374745,0.000148317966897991,0.00154484595819543,0.00372492203511736,2.71892119351632e-05,0.000762410942860279
"Cingulate_Post_02","Pallidum_02",0.562188741495744,1.45956950526461e-08,0.498414376321353,1.27559040377494e-06,2.49586385400249e-06,2.47115233069553e-08,1.03629434873787e-06,0.000218125959045515,1.896747469961e-06,7.27086530151717e-05
"Cingulate_Post_02","Precuneus_02",0.780137203575447,5.32537222767781e-19,0.777083181453671,0,9.10638650932905e-17,5.35669794666415e-18,8.2543269529006e-17,0,0,0
"Cingulate_Post_02","Putamen_02",0.603815898309367,5.97625124755003e-10,0.521360355762922,3.46944911072742e-07,1.02193896333106e-07,1.21659400396554e-09,5.36837351379164e-08,5.93275797934389e-05,5.87401780133058e-07,2.46330886861647e-05
"Cingulate_Post_02","Raphe_D_02",0.342701922106509,0.00115702906653948,0.306572136764599,0.00401580777514367,0.197851970378252,0.00116383511987207,0.00251915042240548,0.686703129549568,0.00411199478772196,0.0200790388757184
"Cingulate_Post_02","Raphe_M_02",0.501641425397842,7.43676127540548e-07,0.455019319093096,1.19661939069964e-05,0.000127168617809434,9.70752807705601e-07,3.04907212291625e-05,0.00204621915809638,1.56199935732548e-05,0.000490613950186852
"Cingulate_Post_02","Thalamus_02",0.731593420430736,8.41609175256609e-16,0.660840562805278,0,1.4391516896888e-13,3.78724128865474e-15,1.12775629484386e-13,0,0,0
"Cingulate_Post_02","VTA_02",0.560098499904789,1.69408660425659e-08,0.428045490996573,4.20507499802093e-05,2.89688809327876e-06,2.81251271192113e-08,1.16891975693705e-06,0.0071906782466158,4.89161785484068e-05,0.00106510731510637
"Frontal_Mid_02","Frontal_Sup_02",0.94203126339857,4.44512690979123e-42,0.92285120653204,0,7.601167015743e-40,7.601167015743e-40,7.601167015743e-40,0,0,0
"Frontal_Mid_02","Frontal_Sup_Medial_02",0.852582877889635,1.11480116089179e-25,0.821207261062915,0,1.90630998512496e-23,2.38288748140619e-24,1.82827390386253e-23,0,0,0
"Frontal_Mid_02","Hypothalamus_02",0.463371069523813,6.19521206520852e-06,0.316104104396005,0.00297766856711684,0.00105938126315066,7.40826058147312e-06,0.000179661149891047,0.50918132497698,0.0030673573793794,0.017866011402701
"Frontal_Mid_02","Insula_02",0.822490845314453,1.5439238401427e-22,0.798716920609463,0,2.64010976664402e-20,2.64010976664402e-21,2.50115662103117e-20,0,0,0
"Frontal_Mid_02","LC_02",0.577504651628019,4.74364030686089e-09,0.509222133119487,6.98431544957955e-07,8.11162492473212e-07,8.72217733842164e-09,3.7474758424201e-07,0.00011943179418781,1.09570453383312e-06,4.40011873323511e-05
"Frontal_Mid_02","N_Acc_02",0.606393261954916,4.82898622859686e-10,0.530272654370489,2.04105778041779e-07,8.25756645090064e-08,1.07241122738969e-09,4.58753691716702e-08,3.49020880451441e-05,3.63963711967768e-07,1.5716144909217e-05
"Frontal_Mid_02","OFCmed_02",0.648993110409049,1.05880170068529e-11,0.632062404315812,0,1.81055090817185e-09,3.17640510205588e-11,1.21762195578809e-09,0,0,0
"Frontal_Mid_02","Pallidum_02",0.688181462898889,1.77422860964023e-13,0.618265655755632,0,3.03393092248479e-11,6.59550200540171e-13,2.23552804814669e-11,0,0,0
"Frontal_Mid_02","Precuneus_02",0.577139302450258,4.87582712019001e-09,0.530254428810964,2.04330504964361e-07,8.33766437552492e-07,8.86985571864354e-09,3.80314515374821e-07,3.49405163489057e-05,3.63963711967768e-07,1.5716144909217e-05
"Frontal_Mid_02","Putamen_02",0.766168517110491,5.31405845580037e-18,0.726106291463148,0,9.08703995941864e-16,4.13047270882665e-17,7.97108768370056e-16,0,0,0
"Frontal_Mid_02","Raphe_D_02",0.519783181258749,2.4794111073321e-07,0.464496610045928,7.51338381693252e-06,4.2397929935379e-05,3.44698617360805e-07,1.21491144259273e-05,0.00128478863269546,1.01164459267359e-05,0.000338102271761963
"Frontal_Mid_02","Raphe_M_02",0.525628875381888,1.71650852023368e-07,0.464132098855435,7.65088866575351e-06,2.93522956959959e-05,2.48748268610135e-07,9.26914600926188e-06,0.00130830196184385,1.02211090769051e-05,0.000338102271761963
"Frontal_Mid_02","Thalamus_02",0.732157696514138,7.79755970370497e-16,0.654753225924036,0,1.33338270933355e-13,3.60373705225284e-15,1.05267056000017e-13,0,0,0
"Frontal_Mid_02","VTA_02",0.559740410105222,1.7377079995678e-08,0.468068819712765,6.28361201222246e-06,2.97148067926093e-06,2.85719296082782e-08,1.1816414397061e-06,0.00107449765409004,8.52775915944477e-06,0.000289046152562233
"Frontal_Sup_02","Frontal_Sup_Medial_02",0.918467241821906,5.35976769992089e-36,0.917693373186557,0,9.16520276686472e-34,4.58260138343236e-34,9.11160508986552e-34,0,0,0
"Frontal_Sup_02","Hypothalamus_02",0.381524947490471,0.000266256726725656,0.28245972151345,0.00821982610326799,0.0455299002700873,0.000271011311131472,0.00154484595819543,1,0.00826817802152251,0.0251820859818399
"Frontal_Sup_02","Insula_02",0.781003059431435,4.59228743973593e-19,0.741415761463877,0,7.85281152194844e-17,4.90800720121777e-18,7.16396840598805e-17,0,0,0
"Frontal_Sup_02","LC_02",0.51155856014825,4.11185802673414e-07,0.450699861485748,1.47318915825737e-05,7.03127722571538e-05,5.53643876040581e-07,1.85033611203036e-05,0.0025191534606201,1.86603960045934e-05,0.00055689056353244
"Frontal_Sup_02","N_Acc_02",0.645694470605507,1.45412819607962e-11,0.557556316978931,3.60171308986071e-08,2.48655921529615e-09,3.94691938935897e-11,1.59432955280491e-09,6.15892938366181e-06,7.60361652303927e-08,3.27755891177324e-06
"Frontal_Sup_02","OFCmed_02",0.738408712228777,3.30392830544141e-16,0.749835969964278,0,5.6497174023048e-14,1.61420497208709e-15,4.52638177845473e-14,0,0,0
"Frontal_Sup_02","Pallidum_02",0.669730997385184,1.31362840613074e-12,0.600878471969089,6.38289204941268e-10,2.24630457448357e-10,4.58429504996646e-12,1.61576293954081e-10,1.09147454044957e-07,1.67919160069164e-09,6.82969449287156e-08
"Frontal_Sup_02","Precuneus_02",0.567849388576319,9.69871964173839e-09,0.494368302106875,1.59059892697331e-06,1.65848105873727e-06,1.6752333926639e-08,7.08006533846903e-07,0.000271992416512436,2.3247215086533e-06,8.74829409835321e-05
"Frontal_Sup_02","Putamen_02",0.73287096529451,7.07837799747119e-16,0.677553400889407,0,1.21040263756757e-13,3.36222954879882e-15,9.62659407656082e-14,0,0,0
"Frontal_Sup_02","Raphe_D_02",0.462984611193192,6.32118413108058e-06,0.420390755996209,5.90211667536361e-05,0.00108092248641478,7.50640615565819e-06,0.000179661149891047,0.0100926195148718,6.68385398335879e-05,0.00123944450182636
"Frontal_Sup_02","Raphe_M_02",0.462749364551616,6.39904070305996e-06,0.42203105635343,5.49205910490948e-05,0.00109423596022325,7.54645489809141e-06,0.000179661149891047,0.00939142106939522,6.26094737959681e-05,0.00123800250038657
"Frontal_Sup_02","Thalamus_02",0.683831742667215,2.88212181851083e-13,0.628982284756142,0,4.92842830965353e-11,1.04860176801139e-12,3.60265227313854e-11,0,0,0
"Frontal_Sup_02","VTA_02",0.532297933825797,1.11877838371572e-07,0.44065757818765,2.36530738283989e-05,1.91311103615388e-05,1.66357481404685e-07,6.37703678717959e-06,0.00404467562465621,2.90983857888936e-05,0.000799450471646493
"Frontal_Sup_Medial_02","Hypothalamus_02",0.400951453455515,0.000118834304476572,0.276281256834585,0.00978672569732958,0.0203206660654938,0.000127802931229521,0.00154484595819543,1,0.00978672569732958,0.0251820859818399
"Frontal_Sup_Medial_02","Insula_02",0.707328413333587,1.88854819952464e-14,0.650670700590508,0,3.22941742118713e-12,7.33958504815257e-14,2.41734169539154e-12,0,0,0
"Frontal_Sup_Medial_02","LC_02",0.462419233820396,6.50982028822326e-06,0.398793467959466,0.000147560129860624,0.00111317926928618,7.62451554305601e-06,0.000179661149891047,0.0252327822061667,0.000163849235104979,0.00265608233749123
"Frontal_Sup_Medial_02","N_Acc_02",0.651959430023274,7.93344690698112e-12,0.556280527812204,3.92465662596847e-08,1.35661942109377e-09,2.46658076562504e-11,9.28213288116791e-10,6.71116283040609e-06,8.18434491512938e-08,3.53219096337163e-06
"Frontal_Sup_Medial_02","OFCmed_02",0.658984672604304,3.95355734648479e-12,0.7076073485456,0,6.76058306248899e-10,1.30011212740173e-11,4.74426881578175e-10,0,0,0
"Frontal_Sup_Medial_02","Pallidum_02",0.65482666856545,5.98374255498246e-12,0.563297368229205,2.42774914448361e-08,1.023219976902e-09,1.89485180907778e-11,7.0608162148793e-10,4.15145103706698e-06,5.32237312444485e-08,2.2820841958146e-06
"Frontal_Sup_Medial_02","Precuneus_02",0.483383160058645,2.11109354772578e-06,0.393562732375884,0.000182634047351438,0.000360996996661109,2.57854997615078e-06,6.7554993527225e-05,0.0312304220970958,0.000201486594174812,0.00310477880497444
"Frontal_Sup_Medial_02","Putamen_02",0.698979514618091,5.12550446587391e-14,0.607567252314646,0,8.76461263664439e-12,1.94769169703209e-13,6.50939067165987e-12,0,0,0
